step,time_seconds,total_energy,relative_energy_drift,momentum_x,momentum_y,momentum_z,momentum_drift,center_of_mass_x,center_of_mass_y,center_of_mass_z,center_of_mass_drift
2064,7.43040000000000000e+06,-1.97268632471930119e+35,2.36713193390963481e-12,9.58774139420672000e+14,3.18360656733699799e+31,0.00000000000000000e+00,1.80398947200045640e+16,1.50861297265463853e+09,1.18803800261114925e+08,0.00000000000000000e+00,1.18803800261114925e+08
2088,7.51680000000000000e+06,-1.97268632471937719e+35,2.40565837606696963e-12,-2.21001837182976000e+14,3.18360656733699799e+31,0.00000000000000000e+00,1.80157540910855280e+16,1.50861297265463829e+09,1.20185239799034804e+08,0.00000000000000000e+00,1.20185239799034804e+08
2112,7.60320000000000000e+06,-1.97268632471946389e+35,2.44960844357655037e-12,1.47554460447539200e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.35911338126243720e+16,1.50861297265463829e+09,1.21566679336954713e+08,0.00000000000000000e+00,1.21566679336954713e+08
2136,7.68960000000000000e+06,-1.97268632471955502e+35,2.49580276985257775e-12,1.20616425567027200e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.35645316411780940e+16,1.50861297265463758e+09,1.22948118874874666e+08,0.00000000000000000e+00,1.22948118874874666e+08
2160,7.77600000000000000e+06,-1.97268632471966127e+35,2.54966498024729807e-12,4.24411488321536000e+14,3.18360656733699799e+31,0.00000000000000000e+00,1.80193972920807200e+16,1.50861297265463710e+09,1.24329558412794575e+08,0.00000000000000000e+00,1.24329558412794575e+08
2184,7.86240000000000000e+06,-1.97268632471977343e+35,2.60651953566394724e-12,1.77351225560268800e+15,3.18360656733699799e+31,0.00000000000000000e+00,1.81014888718911640e+16,1.50861297265463662e+09,1.25710997950714543e+08,0.00000000000000000e+00,1.25710997950714543e+08
2208,7.94880000000000000e+06,-1.97268632471989628e+35,2.66879771643284273e-12,2.17373448811315200e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.36845463226837580e+16,1.50861297265463543e+09,1.27092437488634497e+08,0.00000000000000000e+00,1.27092437488634497e+08
2232,8.03520000000000000e+06,-1.97268632472002799e+35,2.73556441473463149e-12,2.30897441832960000e+15,3.18360656733699889e+31,0.00000000000000000e+00,9.29844079827941800e+15,1.50861297265463519e+09,1.28473877026554376e+08,0.00000000000000000e+00,1.28473877026554376e+08
2256,8.12160000000000000e+06,-1.97268632472017003e+35,2.80756771682479571e-12,2.04509162766336000e+15,3.18360656733699979e+31,0.00000000000000000e+00,2.04509162766336000e+15,1.50861297265463424e+09,1.29855316564474300e+08,0.00000000000000000e+00,1.29855316564474300e+08
2280,8.20800000000000000e+06,-1.97268632472031650e+35,2.88181527768140656e-12,1.27653299984793600e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.35709698596882080e+16,1.50861297265463448e+09,1.31236756102394223e+08,0.00000000000000000e+00,1.31236756102394223e+08
